分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
01 Game.dll 全局 RVA,EntitySystemPointerRva,0x94C7B0,0x94C7B0,ptr64,EntitySystem 根指针；本地角色、目标、世界对象、队友、宠物与采集都从这里查实体。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,36,0x94C7B0 | 未变,直接确认：大量对应函数引用仍为 0x18094C7B0。
01 Game.dll 全局 RVA,ServerObjectTreeRva,0xD6CAB0,0xD6CAB0,ptr64,ServerObject 树 header 指针；ServerObjectId 与 EntityId 映射。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,37,0xD6CAB0 | 变更 -0x10,直接确认：旧 0xD6CAC0 → 新 0xD6CAB0。
01 Game.dll 全局 RVA,PartyIdRva,0xD66920,0xD66920,uint32,队伍 id / 队伍激活状态候选；队伍快照保留原始值，业务不单独依赖它判断组队。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,38,0xD66920 | 变更 -0x10,直接确认：旧 0xD66930 → 新 0xD66920。
01 Game.dll 全局 RVA,PartyFlagsRva,0xD66924,0xD66924,uint32,队伍权限/状态 flags 候选；队伍快照保留原始诊断值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,39,0xD66924 | 变更 -0x10,直接/邻接确认：与 PartyId 连续字段保持 +4。
01 Game.dll 全局 RVA,PartyLeaderServerObjectIdRva,0xD66928,0xD66928,uint32,队长 server object id；用于标记队长成员和判断本地角色是否队长。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,40,0xD66928 | 变更 -0x10,直接确认：旧 0xD66938 → 新 0xD66928。
01 Game.dll 全局 RVA,PrimaryPartyListRva,0xD66950,0xD66950,ptr64,主队伍 std::list 的 head 指针；node + 0x10 再解引用得到成员记录。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,41,0xD66950 | 变更 -0x10,直接结构确认：旧 xmmword_180D66960 → 新 xmmword_180D66950。
01 Game.dll 全局 RVA,PrimaryPartyCountRva,0xD66958,0xD66958,uint64,主队伍成员记录数量；队伍快照保留原始数量，并和链表读取互相诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,42,0xD66958 | 变更 -0x10,由 PrimaryPartyList 连续布局 +8 推导；需实机读 count 复核。
01 Game.dll 全局 RVA,SecondaryPartyListRva,0xD669B8,0xD669B8,ptr64,备用队伍成员链表 head 指针；与主链表按 ServerObjectId 合并去重。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,43,0xD669B8 | 变更 -0x10,直接确认：旧 0xD669C8 → 新 0xD669B8。
01 Game.dll 全局 RVA,TacticsSignTableRva,0xD668D0,0xD668D0,uint32[16] 数组基址,16 个 uint32 ServerObjectId 战术标记槽；队长验证和输出队员选怪信号均扫描全部槽。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,44,0xD668D0 | 变更 -0x10,直接确认：旧 0xD668E0 → 新 0xD668D0。
03 战术标记数组,TacticsSignCount,16,16,数量,战术标记槽数；从 0 到 15，每槽 uint32，0 表示空。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,45,16 | 未变,未发现与本次 Game.dll 更新相关的结构变化。
01 Game.dll 全局 RVA,CurrentMapContextRva,0xD647C0,0xD647C0,内嵌对象基址,GameBase + RVA 即地图上下文本身；直接 + 0x20DC 读 uint32 地图 ID。首个 qword 是虚表，不能先解引用。旧名称 CurrentMapContextPointerRva 已纠正。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,46,0xD647C0 | 变更 -0x10,直接确认：旧 0xD647D0 → 新 0xD647C0。；账号 4 实机纠正读取链：内嵌对象，非指针槽；地图 ID=120010000。
02 地图上下文,CurrentMapIdOffset,0x20DC,0x20DC,uint32,MapContext 内的地图 ID；地图识别和固定频道控制。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,47,0x20DC | 未变,未发现与本次 Game.dll 更新相关的结构变化。
01 Game.dll 全局 RVA,CurrentChannelIndexRva,0xD71CB0,0xD71CB0,uint32,当前频道索引，从 0 开始；此地址连续读取 8 字节，后 4 字节为频道总数。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,48,0xD71CB0 | 变更 -0x10,由连续 index/count 8 字节块确认；count 新址为 0xD71CB4。
