分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
01 Game.dll 全局 RVA,EntitySystemPointerRva,0x94C7B0,0x94C7B0,ptr64,EntitySystem 根指针；本地角色、目标、世界对象、队友、宠物与采集都从这里查实体。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,36,,
01 Game.dll 全局 RVA,ServerObjectTreeRva,0xD6CAC0,0xD6CAC0,ptr64,ServerObject 树 header 指针；ServerObjectId 与 EntityId 映射。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,37,,
01 Game.dll 全局 RVA,PartyIdRva,0xD66930,0xD66930,uint32,队伍 id / 队伍激活状态候选；队伍快照保留原始值，业务不单独依赖它判断组队。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,38,,
01 Game.dll 全局 RVA,PartyFlagsRva,0xD66934,0xD66934,uint32,队伍权限/状态 flags 候选；队伍快照保留原始诊断值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,39,,
01 Game.dll 全局 RVA,PartyLeaderServerObjectIdRva,0xD66938,0xD66938,uint32,队长 server object id；用于标记队长成员和判断本地角色是否队长。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,40,,
01 Game.dll 全局 RVA,PrimaryPartyListRva,0xD66960,0xD66960,ptr64,主队伍 std::list 的 head 指针；node + 0x10 再解引用得到成员记录。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,41,,
01 Game.dll 全局 RVA,PrimaryPartyCountRva,0xD66968,0xD66968,uint64,主队伍成员记录数量；队伍快照保留原始数量，并和链表读取互相诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,42,,
01 Game.dll 全局 RVA,SecondaryPartyListRva,0xD669C8,0xD669C8,ptr64,备用队伍成员链表 head 指针；与主链表按 ServerObjectId 合并去重。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,43,,
01 Game.dll 全局 RVA,TacticsSignTableRva,0xD668E0,0xD668E0,uint32[16] 数组基址,16 个 uint32 ServerObjectId 战术标记槽；队长验证和输出队员选怪信号均扫描全部槽。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,44,,
03 战术标记数组,TacticsSignCount,16,16,数量,战术标记槽数；从 0 到 15，每槽 uint32，0 表示空。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,45,,
01 Game.dll 全局 RVA,CurrentMapContextPointerRva,0xD647D0,0xD647D0,ptr64,当前地图上下文指针；继续读取 MapContext + CurrentMapIdOffset。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,46,,
02 地图上下文,CurrentMapIdOffset,0x20DC,0x20DC,uint32,MapContext 内的地图 ID；地图识别和固定频道控制。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,47,,
01 Game.dll 全局 RVA,CurrentChannelIndexRva,0xD71CC0,0xD71CC0,uint32,当前频道索引，从 0 开始；此地址连续读取 8 字节，后 4 字节为频道总数。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,48,,
01 Game.dll 全局 RVA,CurrentChannelCountRva,0xD71CC4,0xD71CC4,uint32,频道总数；实际通过 CurrentChannelIndexRva + 4 的连续块读取，此常量名本身未被引用。,运行时连续块内实际读取,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,49,,
01 Game.dll 全局 RVA,LocalEntityIdRva,0xD6CB18,0xD6CB18,uint16,本地 EntityId；当前目标 EntityId 在同地址 + 2，详见补充表。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,50,,
01 Game.dll 全局 RVA,LocalMaxHpRva,0xD71BC4,0xD71BC4,uint32,本地最大 HP；用于维护、死亡判断、回血阈值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,51,,
01 Game.dll 全局 RVA,LocalCurrentHpRva,0xD71BC8,0xD71BC8,uint32,本地当前 HP；用于维护、死亡判断、回血阈值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,52,,
01 Game.dll 全局 RVA,LocalMaxMpRva,0xD71BCC,0xD71BCC,uint32,本地最大 MP；用于回蓝维护和阈值判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,53,,
01 Game.dll 全局 RVA,LocalCurrentMpRva,0xD71BD0,0xD71BD0,uint32,本地当前 MP；用于回蓝维护和阈值判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,54,,
01 Game.dll 全局 RVA,LocalCurrentDpRva,0xD71BD6,0xD71BD6,uint16,本地当前 DP；随玩家快照读出。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,55,,
01 Game.dll 全局 RVA,CameraPitchRva,0xD65B84,0xD65B84,float32,普通镜头俯仰角；支持 AION_CAMERA_PITCH_RVA 覆盖。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,56,,
01 Game.dll 全局 RVA,CameraRollRva,0xD65B88,0xD65B88,float32,普通镜头翻滚角；支持 AION_CAMERA_ROLL_RVA 覆盖。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,57,,
